Epoch 10	Local 10.551258087158203	Global -0.880136251449585
Epoch 20	Local 10.542901039123535	Global -0.8896505832672119
Epoch 30	Local 10.544522285461426	Global -0.8846309185028076
Epoch 40	Local 10.543356895446777	Global -0.8884148597717285
Epoch 50	Local 10.532024383544922	Global -0.9092274904251099
Epoch 60	Local 10.545928001403809	Global -0.8886765241622925
Epoch 70	Local 10.522366523742676	Global -0.9201130867004395
Epoch 80	Local 10.510661125183105	Global -0.9320405721664429
Epoch 90	Local 10.496521949768066	Global -0.9543548822402954
Epoch 100	Local 10.47109603881836	Global -0.9905402660369873
Epoch 110	Local 10.443038940429688	Global -1.0335525274276733
Epoch 120	Local 10.422632217407227	Global -1.0640016794204712
Epoch 130	Local 10.378145217895508	Global -1.120331883430481
Epoch 140	Local 10.323140144348145	Global -1.1977777481079102
Epoch 150	Local 10.250057220458984	Global -1.2854094505310059
Epoch 160	Local 10.151479721069336	Global -1.4235886335372925
Epoch 170	Local 10.062751770019531	Global -1.5295580625534058
Epoch 180	Local 9.904362678527832	Global -1.7181956768035889
Epoch 190	Local 9.763243675231934	Global -1.8687629699707031
Epoch 200	Local 9.607693672180176	Global -2.0326197147369385
Epoch 210	Local 9.43264102935791	Global -2.2065742015838623
Epoch 220	Local 9.178861618041992	Global -2.4383127689361572
Epoch 230	Local 8.976301193237305	Global -2.598483085632324
Epoch 240	Local 8.752365112304688	Global -2.7651684284210205
Epoch 250	Local 8.498595237731934	Global -2.9463043212890625
Epoch 260	Local 8.221013069152832	Global -3.112990617752075
Epoch 270	Local 7.9808454513549805	Global -3.2567262649536133
Epoch 280	Local 7.776905536651611	Global -3.3543362617492676
Epoch 290	Local 7.482603549957275	Global -3.4966344833374023
Epoch 300	Local 7.296942234039307	Global -3.591470241546631
Epoch 310	Local 7.0759453773498535	Global -3.6792075634002686
Epoch 320	Local 6.862654209136963	Global -3.764676570892334
Epoch 330	Local 6.643000602722168	Global -3.842947244644165
Epoch 340	Local 6.46831750869751	Global -3.8965072631835938
Epoch 350	Local 6.298988342285156	Global -3.9671032428741455
Epoch 360	Local 6.1249775886535645	Global -4.020257949829102
Epoch 370	Local 5.954863548278809	Global -4.060309410095215
Epoch 380	Local 5.785367012023926	Global -4.107716083526611
Epoch 390	Local 5.660661220550537	Global -4.146604537963867
Epoch 400	Local 5.505581378936768	Global -4.182753086090088
Epoch 410	Local 5.370666980743408	Global -4.216764450073242
Epoch 420	Local 5.278598785400391	Global -4.2427215576171875
Epoch 430	Local 5.1472978591918945	Global -4.267690658569336
Epoch 440	Local 5.067032337188721	Global -4.283710479736328
Epoch 450	Local 4.956562519073486	Global -4.311807632446289
Epoch 460	Local 4.853437423706055	Global -4.330530166625977
Epoch 470	Local 4.7998433113098145	Global -4.337107181549072
Epoch 480	Local 4.710480690002441	Global -4.359930992126465
Epoch 490	Local 4.6337127685546875	Global -4.370680809020996
Epoch 500	Local 4.546109676361084	Global -4.386772155761719
Epoch 510	Local 4.47721529006958	Global -4.399540424346924
Epoch 520	Local 4.447261333465576	Global -4.409770965576172
Epoch 530	Local 4.37626838684082	Global -4.420211315155029
Epoch 540	Local 4.313146591186523	Global -4.434120178222656
Epoch 550	Local 4.283471584320068	Global -4.43227481842041
Epoch 560	Local 4.2150421142578125	Global -4.446227073669434
Epoch 570	Local 4.158872604370117	Global -4.455047607421875
Epoch 580	Local 4.1096673011779785	Global -4.46701717376709
Epoch 590	Local 4.08516788482666	Global -4.46744441986084
Epoch 600	Local 4.04020357131958	Global -4.4754319190979
Epoch 610	Local 4.018492698669434	Global -4.476900577545166
Epoch 620	Local 3.9907498359680176	Global -4.483139991760254
Epoch 630	Local 3.9573488235473633	Global -4.486843585968018
Epoch 640	Local 3.915707588195801	Global -4.497171401977539
Epoch 650	Local 3.9007463455200195	Global -4.49941873550415
Epoch 660	Local 3.8524184226989746	Global -4.505010604858398
Epoch 670	Local 3.840348243713379	Global -4.505897045135498
Epoch 680	Local 3.8206119537353516	Global -4.509113788604736
Epoch 690	Local 3.7956321239471436	Global -4.514832496643066
Epoch 700	Local 3.7759206295013428	Global -4.5178632736206055
Epoch 710	Local 3.750871181488037	Global -4.5207037925720215
Epoch 720	Local 3.744969367980957	Global -4.52235221862793
Epoch 730	Local 3.6948678493499756	Global -4.526910781860352
Epoch 740	Local 3.7001543045043945	Global -4.527817726135254
Epoch 750	Local 3.688511610031128	Global -4.5287675857543945
Epoch 760	Local 3.6834499835968018	Global -4.53013277053833
Epoch 770	Local 3.6536014080047607	Global -4.534360408782959
Epoch 780	Local 3.6302452087402344	Global -4.5357465744018555
Epoch 790	Local 3.6283516883850098	Global -4.53726863861084
Epoch 800	Local 3.6095592975616455	Global -4.539181709289551
Epoch 810	Local 3.614163637161255	Global -4.5390424728393555
Epoch 820	Local 3.5921761989593506	Global -4.5421600341796875
Epoch 830	Local 3.573180913925171	Global -4.544775009155273
Epoch 840	Local 3.560412645339966	Global -4.544621467590332
Epoch 850	Local 3.5499930381774902	Global -4.5479021072387695
Epoch 860	Local 3.54583477973938	Global -4.545833587646484
Epoch 870	Local 3.548196792602539	Global -4.5463128089904785
Epoch 880	Local 3.5265982151031494	Global -4.550534725189209
Epoch 890	Local 3.528280258178711	Global -4.550050735473633
Epoch 900	Local 3.509478807449341	Global -4.553289413452148
Epoch 910	Local 3.50020694732666	Global -4.552107334136963
Epoch 920	Local 3.4912588596343994	Global -4.5547099113464355
Epoch 930	Local 3.4839065074920654	Global -4.556525230407715
Epoch 940	Local 3.4816946983337402	Global -4.556717872619629
Epoch 950	Local 3.4695730209350586	Global -4.556962013244629
Epoch 960	Local 3.4579832553863525	Global -4.559553146362305
Epoch 970	Local 3.460045337677002	Global -4.559878826141357
Epoch 980	Local 3.4473605155944824	Global -4.561549663543701
Epoch 990	Local 3.439253330230713	Global -4.562267303466797
Epoch 1000	Local 3.442432165145874	Global -4.562397003173828
Epoch 1010	Local 3.427858829498291	Global -4.563351631164551
Epoch 1020	Local 3.418785333633423	Global -4.562962532043457
Epoch 1030	Local 3.421837091445923	Global -4.564286231994629
Epoch 1040	Local 3.4105875492095947	Global -4.56546688079834
Epoch 1050	Local 3.4059581756591797	Global -4.565158843994141
Epoch 1060	Local 3.4007720947265625	Global -4.567078590393066
Epoch 1070	Local 3.404376745223999	Global -4.565668106079102
Epoch 1080	Local 3.390969753265381	Global -4.567575454711914
