Epoch 1090	Local 5.09454345703125	Global -5.710216522216797
Epoch 1100	Local 5.092275619506836	Global -5.706793785095215
Epoch 1110	Local 5.078729629516602	Global -5.711066246032715
Epoch 1120	Local 5.067730903625488	Global -5.714963912963867
Epoch 1130	Local 5.080000400543213	Global -5.7152886390686035
Epoch 1140	Local 5.0494866371154785	Global -5.713127136230469
Epoch 1150	Local 5.054839134216309	Global -5.7121076583862305
Epoch 1160	Local 5.024984359741211	Global -5.716232776641846
Epoch 1170	Local 5.028614521026611	Global -5.71677303314209
Epoch 1180	Local 5.024791240692139	Global -5.713892936706543
Epoch 1190	Local 5.016252040863037	Global -5.715141296386719
Epoch 1200	Local 5.009514331817627	Global -5.718935966491699
Epoch 1210	Local 5.013112545013428	Global -5.721614837646484
Epoch 1220	Local 4.981584548950195	Global -5.718308448791504
Epoch 1230	Local 4.981662750244141	Global -5.722198009490967
Epoch 1240	Local 4.9914870262146	Global -5.718662261962891
Epoch 1250	Local 4.979311466217041	Global -5.717915058135986
Epoch 1260	Local 4.9751386642456055	Global -5.716285705566406
Epoch 1270	Local 4.956340789794922	Global -5.716611862182617
Epoch 1280	Local 4.955557823181152	Global -5.72115421295166
Epoch 1290	Local 4.97036075592041	Global -5.7220869064331055
Epoch 1300	Local 4.941621780395508	Global -5.722253799438477
Epoch 1310	Local 4.953048229217529	Global -5.72108268737793
Epoch 1320	Local 4.921249866485596	Global -5.722729682922363
Epoch 1330	Local 4.940063953399658	Global -5.723036766052246
Epoch 1340	Local 4.924546241760254	Global -5.72230339050293
Epoch 1350	Local 4.909862041473389	Global -5.724686622619629
Epoch 1360	Local 4.919917106628418	Global -5.722908973693848
Epoch 1370	Local 4.905658721923828	Global -5.724367618560791
Epoch 1380	Local 4.921935558319092	Global -5.722570896148682
Epoch 1390	Local 4.903271198272705	Global -5.725071430206299
Epoch 1400	Local 4.894602298736572	Global -5.722250938415527
Epoch 1410	Local 4.890298843383789	Global -5.724183559417725
Epoch 1420	Local 4.882361888885498	Global -5.722982406616211
Epoch 1430	Local 4.8830156326293945	Global -5.723807334899902
Epoch 1440	Local 4.876250267028809	Global -5.724124908447266
Epoch 1450	Local 4.875907897949219	Global -5.723671913146973
Epoch 1460	Local 4.870845317840576	Global -5.726321220397949
Epoch 1470	Local 4.86831521987915	Global -5.725348949432373
Epoch 1480	Local 4.8760576248168945	Global -5.723791122436523
Epoch 1490	Local 4.8598127365112305	Global -5.726946830749512
Epoch 1500	Local 4.859704494476318	Global -5.727474689483643
Epoch 1510	Local 4.8615875244140625	Global -5.727445125579834
Epoch 1520	Local 4.853031635284424	Global -5.7253737449646
Epoch 1530	Local 4.852387428283691	Global -5.725380897521973
Epoch 1540	Local 4.843878269195557	Global -5.726219654083252
Epoch 1550	Local 4.846796035766602	Global -5.725401878356934
Epoch 1560	Local 4.842902183532715	Global -5.728228569030762
Epoch 1570	Local 4.840372085571289	Global -5.726531028747559
Epoch 1580	Local 4.84808874130249	Global -5.726576805114746
Epoch 1590	Local 4.840453147888184	Global -5.728146553039551
Epoch 1600	Local 4.843347549438477	Global -5.725618839263916
Epoch 1610	Local 4.823845386505127	Global -5.727365493774414
Epoch 1620	Local 4.83977746963501	Global -5.727853298187256
Epoch 1630	Local 4.827529430389404	Global -5.7288007736206055
Epoch 1640	Local 4.818108081817627	Global -5.727145671844482
Epoch 1650	Local 4.819479942321777	Global -5.727550506591797
Epoch 1660	Local 4.808945655822754	Global -5.728028774261475
Epoch 1670	Local 4.820598125457764	Global -5.727721214294434
Epoch 1680	Local 4.809871196746826	Global -5.72906494140625
Epoch 1690	Local 4.813595294952393	Global -5.7277326583862305
Epoch 1700	Local 4.8137946128845215	Global -5.727158069610596
Epoch 1710	Local 4.805500030517578	Global -5.7288994789123535
Epoch 1720	Local 4.799358367919922	Global -5.728117942810059
Epoch 1730	Local 4.794818878173828	Global -5.727729797363281
Epoch 1740	Local 4.795697212219238	Global -5.729279518127441
Epoch 1750	Local 4.797360420227051	Global -5.729586124420166
Epoch 1760	Local 4.7971649169921875	Global -5.728213787078857
Epoch 1770	Local 4.808183670043945	Global -5.729343891143799
Epoch 1780	Local 4.790379047393799	Global -5.7275390625
Epoch 1790	Local 4.792189598083496	Global -5.7292890548706055
Epoch 1800	Local 4.790585517883301	Global -5.73008394241333
Epoch 1810	Local 4.786818504333496	Global -5.729011535644531
Epoch 1820	Local 4.78220272064209	Global -5.73021125793457
Epoch 1830	Local 4.790027618408203	Global -5.729790687561035
Epoch 1840	Local 4.776345252990723	Global -5.729773044586182
Epoch 1850	Local 4.776949882507324	Global -5.729369163513184
Epoch 1860	Local 4.777023792266846	Global -5.729649066925049
Epoch 1870	Local 4.767889022827148	Global -5.729793548583984
Epoch 1880	Local 4.772090435028076	Global -5.730831146240234
Epoch 1890	Local 4.765907287597656	Global -5.73088264465332
Epoch 1900	Local 4.7642388343811035	Global -5.730536460876465
Epoch 1910	Local 4.764512538909912	Global -5.730965614318848
Epoch 1920	Local 4.774329662322998	Global -5.730152130126953
Epoch 1930	Local 4.7617058753967285	Global -5.731098651885986
Epoch 1940	Local 4.764629364013672	Global -5.732715606689453
Epoch 1950	Local 4.7646284103393555	Global -5.7295660972595215
Epoch 1960	Local 4.760583400726318	Global -5.730559349060059
Epoch 1970	Local 4.757148742675781	Global -5.731466770172119
Epoch 1980	Local 4.752386093139648	Global -5.731670379638672
Epoch 1990	Local 4.753129005432129	Global -5.732145309448242
Epoch 2000	Local 4.758157730102539	Global -5.7320051193237305
Epoch 2010	Local 4.751926422119141	Global -5.731845855712891
Epoch 2020	Local 4.750258445739746	Global -5.733038902282715
Epoch 2030	Local 4.749212265014648	Global -5.731934547424316
Epoch 2040	Local 4.750802993774414	Global -5.731276512145996
Epoch 2050	Local 4.749028205871582	Global -5.731439113616943
Epoch 2060	Local 4.744799613952637	Global -5.73142671585083
Epoch 2070	Local 4.7428812980651855	Global -5.733577728271484
Epoch 2080	Local 4.740485668182373	Global -5.732604026794434
Epoch 2090	Local 4.742979526519775	Global -5.732189655303955
Epoch 2100	Local 4.737918853759766	Global -5.732884407043457
Epoch 2110	Local 4.740266799926758	Global -5.731986045837402
Epoch 2120	Local 4.736400127410889	Global -5.732823848724365
Epoch 2130	Local 4.738755226135254	Global -5.733093738555908
Epoch 2140	Local 4.7447509765625	Global -5.733522415161133
Epoch 2150	Local 4.734691619873047	Global -5.734187602996826
Epoch 2160	Local 4.736166477203369	Global -5.7336931228637695
Epoch 2170	Local 4.7274627685546875	Global -5.733049392700195
Epoch 2180	Local 4.732705116271973	Global -5.733468055725098
Epoch 2190	Local 4.728050231933594	Global -5.733490467071533
Epoch 2200	Local 4.736101150512695	Global -5.7335662841796875
Epoch 2210	Local 4.732245922088623	Global -5.732847213745117
Epoch 2220	Local 4.730883598327637	Global -5.733675956726074
Epoch 2230	Local 4.723944187164307	Global -5.734109878540039
Epoch 2240	Local 4.72823429107666	Global -5.734194755554199
Epoch 2250	Local 4.722443103790283	Global -5.733851909637451
Epoch 2260	Local 4.723851203918457	Global -5.732798099517822
Epoch 2270	Local 4.724157333374023	Global -5.732816219329834
Epoch 2280	Local 4.720457077026367	Global -5.733404159545898
Epoch 2290	Local 4.72634220123291	Global -5.7325544357299805
Epoch 2300	Local 4.721892833709717	Global -5.732719898223877
Epoch 2310	Local 4.72056770324707	Global -5.7320942878723145
Epoch 2320	Local 4.7228193283081055	Global -5.733441352844238
Epoch 2330	Local 4.71204948425293	Global -5.733074188232422
Epoch 2340	Local 4.715904712677002	Global -5.732932090759277
Epoch 2350	Local 4.719217300415039	Global -5.734752655029297
Epoch 2360	Local 4.721857070922852	Global -5.733895301818848
Epoch 2370	Local 4.7170186042785645	Global -5.733427047729492
Epoch 2380	Local 4.719668865203857	Global -5.7334442138671875
Epoch 2390	Local 4.711963176727295	Global -5.733400821685791
Epoch 2400	Local 4.711699485778809	Global -5.73344612121582
Epoch 2410	Local 4.728667736053467	Global -5.735533714294434
Epoch 2420	Local 4.709251880645752	Global -5.732928276062012
Epoch 2430	Local 4.716214179992676	Global -5.73279333114624
Epoch 2440	Local 4.704626083374023	Global -5.733798027038574
Epoch 2450	Local 4.706714630126953	Global -5.733816146850586
Epoch 2460	Local 4.707568645477295	Global -5.733211994171143
Epoch 2470	Local 4.710952281951904	Global -5.734195232391357
Epoch 2480	Local 4.7078986167907715	Global -5.732954025268555
Epoch 2490	Local 4.710062026977539	Global -5.733101844787598
Epoch 2500	Local 4.710143566131592	Global -5.734002113342285
Epoch 2510	Local 4.7010321617126465	Global -5.733742713928223
Epoch 2520	Local 4.715725421905518	Global -5.730993747711182
Epoch 2530	Local 4.707301139831543	Global -5.733989715576172
Epoch 2540	Local 4.70165491104126	Global -5.733529090881348
Epoch 2550	Local 4.704400539398193	Global -5.733918190002441
Epoch 2560	Local 4.706329822540283	Global -5.733101844787598
Epoch 2570	Local 4.7012104988098145	Global -5.733737945556641
Epoch 2580	Local 4.702719211578369	Global -5.733798503875732
Epoch 2590	Local 4.698945999145508	Global -5.733455657958984
Epoch 2600	Local 4.699072360992432	Global -5.734104156494141
Epoch 2610	Local 4.7001824378967285	Global -5.733615398406982
Epoch 2620	Local 4.70193338394165	Global -5.7348833084106445
Epoch 2630	Local 4.698312282562256	Global -5.7341203689575195
Epoch 2640	Local 4.697664737701416	Global -5.734419822692871
Epoch 2650	Local 4.695770263671875	Global -5.734361171722412
Epoch 2660	Local 4.696977615356445	Global -5.733336448669434
Epoch 2670	Local 4.697831630706787	Global -5.734076499938965
Epoch 2680	Local 4.696244716644287	Global -5.7342987060546875
Epoch 2690	Local 4.697690963745117	Global -5.733546257019043
Epoch 2700	Local 4.690922737121582	Global -5.734029769897461
Epoch 2710	Local 4.698792457580566	Global -5.733133316040039
Epoch 2720	Local 4.6975226402282715	Global -5.734033584594727
Epoch 2730	Local 4.690761566162109	Global -5.734631538391113
Epoch 2740	Local 4.688723564147949	Global -5.733746528625488
Epoch 2750	Local 4.68959379196167	Global -5.734442234039307
Epoch 2760	Local 4.689860820770264	Global -5.734233856201172
Epoch 2770	Local 4.689453125	Global -5.734375
Epoch 2780	Local 4.691488742828369	Global -5.7342376708984375
Epoch 2790	Local 4.688961029052734	Global -5.734668731689453
Epoch 2800	Local 4.687673091888428	Global -5.734769821166992
Epoch 2810	Local 4.686069488525391	Global -5.734609603881836
Epoch 2820	Local 4.6874799728393555	Global -5.734375
Epoch 2830	Local 4.687319755554199	Global -5.734438419342041
Epoch 2840	Local 4.684938907623291	Global -5.734954357147217
Epoch 2850	Local 4.685054302215576	Global -5.734124183654785
Epoch 2860	Local 4.685398578643799	Global -5.735082626342773
Epoch 2870	Local 4.691090106964111	Global -5.734750747680664
Epoch 2880	Local 4.685320854187012	Global -5.734419345855713
Epoch 2890	Local 4.681169509887695	Global -5.735080242156982
Epoch 2900	Local 4.684518337249756	Global -5.735773086547852
Epoch 2910	Local 4.683361530303955	Global -5.734669208526611
