Epoch 10	Local 13.53562068939209	Global -1.2715823650360107
Epoch 20	Local 13.535268783569336	Global -1.2756259441375732
Epoch 30	Local 13.522045135498047	Global -1.286115050315857
Epoch 40	Local 13.519674301147461	Global -1.2918862104415894
Epoch 50	Local 13.516932487487793	Global -1.2948919534683228
Epoch 60	Local 13.513375282287598	Global -1.3052163124084473
Epoch 70	Local 13.5128173828125	Global -1.304887056350708
Epoch 80	Local 13.503456115722656	Global -1.3069987297058105
Epoch 90	Local 13.509340286254883	Global -1.3029608726501465
Epoch 100	Local 13.484922409057617	Global -1.336031198501587
Epoch 110	Local 13.467964172363281	Global -1.3552496433258057
Epoch 120	Local 13.475885391235352	Global -1.3527934551239014
Epoch 130	Local 13.46081829071045	Global -1.3797521591186523
Epoch 140	Local 13.417953491210938	Global -1.4156149625778198
Epoch 150	Local 13.418932914733887	Global -1.4261233806610107
Epoch 160	Local 13.368176460266113	Global -1.4804812669754028
Epoch 170	Local 13.318328857421875	Global -1.5502758026123047
Epoch 180	Local 13.270759582519531	Global -1.6086915731430054
Epoch 190	Local 13.209369659423828	Global -1.6849640607833862
Epoch 200	Local 13.139250755310059	Global -1.7723232507705688
Epoch 210	Local 13.050654411315918	Global -1.877906322479248
Epoch 220	Local 12.89810848236084	Global -2.051241874694824
Epoch 230	Local 12.772747993469238	Global -2.1843600273132324
Epoch 240	Local 12.637063026428223	Global -2.3215277194976807
Epoch 250	Local 12.483561515808105	Global -2.4791321754455566
Epoch 260	Local 12.26069450378418	Global -2.6769402027130127
Epoch 270	Local 12.068610191345215	Global -2.8504157066345215
Epoch 280	Local 11.840544700622559	Global -3.047715902328491
Epoch 290	Local 11.561753273010254	Global -3.2354588508605957
Epoch 300	Local 11.309651374816895	Global -3.4175801277160645
Epoch 310	Local 10.986771583557129	Global -3.6047840118408203
Epoch 320	Local 10.712959289550781	Global -3.7602696418762207
Epoch 330	Local 10.410194396972656	Global -3.9200243949890137
Epoch 340	Local 10.152976989746094	Global -4.045299530029297
Epoch 350	Local 9.893237113952637	Global -4.16018533706665
Epoch 360	Local 9.603188514709473	Global -4.289909839630127
Epoch 370	Local 9.325471878051758	Global -4.3822784423828125
Epoch 380	Local 9.03177547454834	Global -4.484926700592041
Epoch 390	Local 8.768255233764648	Global -4.5693359375
Epoch 400	Local 8.501440048217773	Global -4.638645172119141
Epoch 410	Local 8.332139015197754	Global -4.700048446655273
Epoch 420	Local 8.071643829345703	Global -4.7645263671875
Epoch 430	Local 7.841333389282227	Global -4.816199779510498
Epoch 440	Local 7.6566290855407715	Global -4.851622581481934
Epoch 450	Local 7.473388195037842	Global -4.8978962898254395
Epoch 460	Local 7.287051677703857	Global -4.933773994445801
Epoch 470	Local 7.086010456085205	Global -4.966668128967285
Epoch 480	Local 6.904143810272217	Global -5.004671096801758
Epoch 490	Local 6.80563497543335	Global -5.028538703918457
Epoch 500	Local 6.664687156677246	Global -5.04545259475708
Epoch 510	Local 6.492453098297119	Global -5.072177886962891
Epoch 520	Local 6.3938727378845215	Global -5.1050848960876465
Epoch 530	Local 6.2596235275268555	Global -5.119325637817383
Epoch 540	Local 6.141668796539307	Global -5.135261535644531
Epoch 550	Local 6.014430522918701	Global -5.152439117431641
Epoch 560	Local 5.919205188751221	Global -5.163614273071289
Epoch 570	Local 5.825186729431152	Global -5.178770542144775
Epoch 580	Local 5.735395908355713	Global -5.1916046142578125
Epoch 590	Local 5.686954498291016	Global -5.202503204345703
Epoch 600	Local 5.627123832702637	Global -5.20612096786499
Epoch 610	Local 5.528801918029785	Global -5.220648288726807
Epoch 620	Local 5.442044734954834	Global -5.229508399963379
Epoch 630	Local 5.359398365020752	Global -5.240461349487305
Epoch 640	Local 5.325167655944824	Global -5.240793704986572
Epoch 650	Local 5.281148910522461	Global -5.247446060180664
Epoch 660	Local 5.204744338989258	Global -5.259669303894043
Epoch 670	Local 5.178684234619141	Global -5.263326168060303
Epoch 680	Local 5.1263251304626465	Global -5.266174793243408
Epoch 690	Local 5.063661575317383	Global -5.273902416229248
Epoch 700	Local 5.035426616668701	Global -5.275876998901367
Epoch 710	Local 4.99399471282959	Global -5.286122798919678
Epoch 720	Local 4.957917213439941	Global -5.2842206954956055
Epoch 730	Local 4.906696796417236	Global -5.293912887573242
Epoch 740	Local 4.88242244720459	Global -5.293632507324219
Epoch 750	Local 4.863803386688232	Global -5.2973527908325195
Epoch 760	Local 4.833582878112793	Global -5.301028251647949
Epoch 770	Local 4.804166793823242	Global -5.30565881729126
Epoch 780	Local 4.775180339813232	Global -5.312182426452637
Epoch 790	Local 4.750489234924316	Global -5.3137407302856445
Epoch 800	Local 4.723639488220215	Global -5.310994625091553
Epoch 810	Local 4.719027042388916	Global -5.311666965484619
Epoch 820	Local 4.68778133392334	Global -5.314079284667969
Epoch 830	Local 4.666847229003906	Global -5.321939468383789
Epoch 840	Local 4.640547752380371	Global -5.322033405303955
Epoch 850	Local 4.626756191253662	Global -5.321310043334961
Epoch 860	Local 4.60553503036499	Global -5.323779106140137
Epoch 870	Local 4.589902400970459	Global -5.326532363891602
Epoch 880	Local 4.586491107940674	Global -5.32715368270874
Epoch 890	Local 4.555238246917725	Global -5.331183910369873
Epoch 900	Local 4.536640644073486	Global -5.329993724822998
Epoch 910	Local 4.524938583374023	Global -5.332671165466309
Epoch 920	Local 4.506232261657715	Global -5.336661338806152
Epoch 930	Local 4.498255729675293	Global -5.336075782775879
Epoch 940	Local 4.500268936157227	Global -5.3370442390441895
Epoch 950	Local 4.46854305267334	Global -5.339534759521484
Epoch 960	Local 4.465124607086182	Global -5.341455459594727
Epoch 970	Local 4.448809623718262	Global -5.342452049255371
Epoch 980	Local 4.444728374481201	Global -5.339727401733398
Epoch 990	Local 4.431051254272461	Global -5.345267295837402
Epoch 1000	Local 4.412561416625977	Global -5.344615936279297
Epoch 1010	Local 4.401264190673828	Global -5.345305919647217
Epoch 1020	Local 4.410480976104736	Global -5.346837043762207
Epoch 1030	Local 4.385076522827148	Global -5.3472819328308105
Epoch 1040	Local 4.367119312286377	Global -5.34816312789917
Epoch 1050	Local 4.375758647918701	Global -5.346543788909912
Epoch 1060	Local 4.356394290924072	Global -5.349750518798828
Epoch 1070	Local 4.354633331298828	Global -5.352006912231445
Epoch 1080	Local 4.340437412261963	Global -5.349719047546387
Epoch 1090	Local 4.332112789154053	Global -5.353207588195801
Epoch 1100	Local 4.328370571136475	Global -5.349515438079834
Epoch 1110	Local 4.32525634765625	Global -5.3512773513793945
Epoch 1120	Local 4.308873653411865	Global -5.354108810424805
Epoch 1130	Local 4.3284406661987305	Global -5.35115385055542
Epoch 1140	Local 4.307275772094727	Global -5.353355884552002
Epoch 1150	Local 4.311097145080566	Global -5.350261688232422
Epoch 1160	Local 4.294722557067871	Global -5.354660987854004
Epoch 1170	Local 4.277286529541016	Global -5.355270862579346
Epoch 1180	Local 4.2798967361450195	Global -5.3562822341918945
Epoch 1190	Local 4.272164344787598	Global -5.357341766357422
Epoch 1200	Local 4.27486515045166	Global -5.355236530303955
Epoch 1210	Local 4.267080307006836	Global -5.356809616088867
Epoch 1220	Local 4.257937908172607	Global -5.356601715087891
Epoch 1230	Local 4.259507656097412	Global -5.356256484985352
Epoch 1240	Local 4.252249240875244	Global -5.357458114624023
Epoch 1250	Local 4.2572832107543945	Global -5.358744144439697
Epoch 1260	Local 4.241971015930176	Global -5.3573455810546875
Epoch 1270	Local 4.243480682373047	Global -5.3590288162231445
Epoch 1280	Local 4.230087757110596	Global -5.359073162078857
Epoch 1290	Local 4.23182487487793	Global -5.359579563140869
Epoch 1300	Local 4.227276802062988	Global -5.359009265899658
Epoch 1310	Local 4.213964939117432	Global -5.359429836273193
Epoch 1320	Local 4.219698429107666	Global -5.364398002624512
Epoch 1330	Local 4.21287202835083	Global -5.3610100746154785
Epoch 1340	Local 4.213367938995361	Global -5.361115455627441
Epoch 1350	Local 4.195675849914551	Global -5.363409042358398
Epoch 1360	Local 4.206465721130371	Global -5.362621307373047
Epoch 1370	Local 4.195686340332031	Global -5.363439083099365
Epoch 1380	Local 4.202394485473633	Global -5.360363006591797
Epoch 1390	Local 4.185656547546387	Global -5.363089084625244
Epoch 1400	Local 4.183816432952881	Global -5.363306999206543
Epoch 1410	Local 4.1813459396362305	Global -5.363458633422852
Epoch 1420	Local 4.182081699371338	Global -5.362811088562012
Epoch 1430	Local 4.181156635284424	Global -5.363647937774658
Epoch 1440	Local 4.173357963562012	Global -5.365105628967285
Epoch 1450	Local 4.178637981414795	Global -5.365810871124268
Epoch 1460	Local 4.161034107208252	Global -5.365401268005371
Epoch 1470	Local 4.174149036407471	Global -5.362683296203613
Epoch 1480	Local 4.162914752960205	Global -5.36563777923584
Epoch 1490	Local 4.160160541534424	Global -5.365739345550537
Epoch 1500	Local 4.158112525939941	Global -5.365625381469727
Epoch 1510	Local 4.145750999450684	Global -5.366781234741211
Epoch 1520	Local 4.153291702270508	Global -5.365320682525635
Epoch 1530	Local 4.147860050201416	Global -5.366725921630859
Epoch 1540	Local 4.149867057800293	Global -5.367132663726807
Epoch 1550	Local 4.1519670486450195	Global -5.3670430183410645
Epoch 1560	Local 4.152347564697266	Global -5.366615295410156
Epoch 1570	Local 4.138696670532227	Global -5.366842746734619
Epoch 1580	Local 4.138187408447266	Global -5.366870880126953
Epoch 1590	Local 4.136236190795898	Global -5.367738246917725
Epoch 1600	Local 4.16086483001709	Global -5.368140697479248
Epoch 1610	Local 4.1278228759765625	Global -5.369422435760498
Epoch 1620	Local 4.138080596923828	Global -5.3665008544921875
Epoch 1630	Local 4.143407344818115	Global -5.367711067199707
Epoch 1640	Local 4.129950046539307	Global -5.369099140167236
Epoch 1650	Local 4.122390270233154	Global -5.369445323944092
Epoch 1660	Local 4.1244049072265625	Global -5.368481636047363
Epoch 1670	Local 4.11375617980957	Global -5.369190216064453
Epoch 1680	Local 4.1181840896606445	Global -5.369758129119873
Epoch 1690	Local 4.115599632263184	Global -5.368720531463623
Epoch 1700	Local 4.125601291656494	Global -5.372338771820068
Epoch 1710	Local 4.111888408660889	Global -5.368554592132568
Epoch 1720	Local 4.113840579986572	Global -5.369455337524414
Epoch 1730	Local 4.1113667488098145	Global -5.36942195892334
Epoch 1740	Local 4.110990047454834	Global -5.369047164916992
Epoch 1750	Local 4.106536388397217	Global -5.369216442108154
Epoch 1760	Local 4.111688137054443	Global -5.370487689971924
Epoch 1770	Local 4.106980323791504	Global -5.370003700256348
Epoch 1780	Local 4.107720851898193	Global -5.369985580444336
Epoch 1790	Local 4.0995402336120605	Global -5.369384288787842
Epoch 1800	Local 4.099127292633057	Global -5.36929988861084
Epoch 1810	Local 4.100124835968018	Global -5.370093822479248
Epoch 1820	Local 4.095680236816406	Global -5.371072292327881
Epoch 1830	Local 4.096489429473877	Global -5.369640827178955
Epoch 1840	Local 4.095666408538818	Global -5.370429039001465
Epoch 1850	Local 4.089639186859131	Global -5.3707709312438965
Epoch 1860	Local 4.095836639404297	Global -5.372143745422363
Epoch 1870	Local 4.092138767242432	Global -5.370611667633057
Epoch 1880	Local 4.0931549072265625	Global -5.370505332946777
Epoch 1890	Local 4.087391376495361	Global -5.370045185089111
Epoch 1900	Local 4.079436302185059	Global -5.3711771965026855
Epoch 1910	Local 4.084869861602783	Global -5.370728015899658
Epoch 1920	Local 4.085333347320557	Global -5.370877265930176
Epoch 1930	Local 4.085252285003662	Global -5.371194839477539
Epoch 1940	Local 4.08757209777832	Global -5.370427131652832
Epoch 1950	Local 4.077968597412109	Global -5.370499134063721
Epoch 1960	Local 4.078798294067383	Global -5.3707404136657715
Epoch 1970	Local 4.081245422363281	Global -5.371340751647949
Epoch 1980	Local 4.075078964233398	Global -5.372183799743652
Epoch 1990	Local 4.072118282318115	Global -5.372257709503174
Epoch 2000	Local 4.085799217224121	Global -5.370079517364502
Epoch 2010	Local 4.071346282958984	Global -5.372004985809326
Epoch 2020	Local 4.069782257080078	Global -5.372274398803711
Epoch 2030	Local 4.0712571144104	Global -5.371543884277344
Epoch 2040	Local 4.0727667808532715	Global -5.371363639831543
Epoch 2050	Local 4.070990562438965	Global -5.370367050170898
Epoch 2060	Local 4.070321559906006	Global -5.3713603019714355
Epoch 2070	Local 4.064728260040283	Global -5.372459411621094
Epoch 2080	Local 4.0626983642578125	Global -5.3727006912231445
Epoch 2090	Local 4.063481330871582	Global -5.3722991943359375
Epoch 2100	Local 4.071420669555664	Global -5.372535228729248
Epoch 2110	Local 4.078860759735107	Global -5.369245529174805
Epoch 2120	Local 4.064053058624268	Global -5.372616767883301
Epoch 2130	Local 4.066131591796875	Global -5.372155666351318
Epoch 2140	Local 4.069406032562256	Global -5.37128210067749
Epoch 2150	Local 4.0587592124938965	Global -5.372400760650635
Epoch 2160	Local 4.065649032592773	Global -5.372842788696289
Epoch 2170	Local 4.058588027954102	Global -5.37247371673584
Epoch 2180	Local 4.059800148010254	Global -5.372801780700684
Epoch 2190	Local 4.058784484863281	Global -5.372034072875977
Epoch 2200	Local 4.057302951812744	Global -5.373723983764648
Epoch 2210	Local 4.058382987976074	Global -5.372522354125977
Epoch 2220	Local 4.060606002807617	Global -5.372485160827637
Epoch 2230	Local 4.059226036071777	Global -5.37274694442749
Epoch 2240	Local 4.058450222015381	Global -5.372254848480225
Epoch 2250	Local 4.053833484649658	Global -5.372792720794678
Epoch 2260	Local 4.058351993560791	Global -5.372365474700928
Epoch 2270	Local 4.051182746887207	Global -5.373197555541992
Epoch 2280	Local 4.05002498626709	Global -5.372934341430664
Epoch 2290	Local 4.060168743133545	Global -5.373341083526611
Epoch 2300	Local 4.051877498626709	Global -5.372677803039551
Epoch 2310	Local 4.0504326820373535	Global -5.3728227615356445
Epoch 2320	Local 4.049170017242432	Global -5.373385906219482
Epoch 2330	Local 4.047525405883789	Global -5.372835636138916
Epoch 2340	Local 4.048574924468994	Global -5.373481273651123
Epoch 2350	Local 4.051470756530762	Global -5.373332500457764
Epoch 2360	Local 4.048570156097412	Global -5.373172283172607
Epoch 2370	Local 4.044865131378174	Global -5.37393045425415
Epoch 2380	Local 4.045095443725586	Global -5.373263835906982
Epoch 2390	Local 4.043268203735352	Global -5.373897075653076
Epoch 2400	Local 4.041690826416016	Global -5.37368106842041
Epoch 2410	Local 4.042381286621094	Global -5.373940944671631
Epoch 2420	Local 4.043729782104492	Global -5.373450756072998
Epoch 2430	Local 4.045116901397705	Global -5.373863697052002
Epoch 2440	Local 4.035791397094727	Global -5.3743486404418945
Epoch 2450	Local 4.037981033325195	Global -5.373918533325195
Epoch 2460	Local 4.054686546325684	Global -5.374253273010254
Epoch 2470	Local 4.044336318969727	Global -5.374143123626709
Epoch 2480	Local 4.0465593338012695	Global -5.374020576477051
Epoch 2490	Local 4.040555953979492	Global -5.3740949630737305
Epoch 2500	Local 4.046471118927002	Global -5.373385906219482
Epoch 2510	Local 4.03749942779541	Global -5.374598979949951
Epoch 2520	Local 4.041698932647705	Global -5.373940944671631
Epoch 2530	Local 4.037496089935303	Global -5.374444961547852
Epoch 2540	Local 4.035130977630615	Global -5.3742547035217285
Epoch 2550	Local 4.035003185272217	Global -5.374138355255127
Epoch 2560	Local 4.034260272979736	Global -5.374088764190674
Epoch 2570	Local 4.032906532287598	Global -5.374173164367676
Epoch 2580	Local 4.037693500518799	Global -5.3741865158081055
Epoch 2590	Local 4.032625675201416	Global -5.374454975128174
Epoch 2600	Local 4.033176898956299	Global -5.374606609344482
Epoch 2610	Local 4.03413200378418	Global -5.374608039855957
Epoch 2620	Local 4.032916069030762	Global -5.374686241149902
Epoch 2630	Local 4.039061069488525	Global -5.374841213226318
Epoch 2640	Local 4.030848979949951	Global -5.374592304229736
Epoch 2650	Local 4.033249855041504	Global -5.3751726150512695
Epoch 2660	Local 4.031383991241455	Global -5.374557018280029
Epoch 2670	Local 4.030599594116211	Global -5.374731063842773
Epoch 2680	Local 4.0302734375	Global -5.375190734863281
Epoch 2690	Local 4.033658981323242	Global -5.373612880706787
Epoch 2700	Local 4.026770114898682	Global -5.3750762939453125
Epoch 2710	Local 4.036708831787109	Global -5.374708652496338
Epoch 2720	Local 4.0286865234375	Global -5.374306678771973
Epoch 2730	Local 4.029086112976074	Global -5.37464714050293
Epoch 2740	Local 4.026077747344971	Global -5.375108242034912
Epoch 2750	Local 4.0343804359436035	Global -5.372992515563965
Epoch 2760	Local 4.0254716873168945	Global -5.374608039855957
Epoch 2770	Local 4.023759841918945	Global -5.37520694732666
Epoch 2780	Local 4.023369312286377	Global -5.3755035400390625
Epoch 2790	Local 4.021308422088623	Global -5.375491142272949
Epoch 2800	Local 4.0227274894714355	Global -5.375484466552734
Epoch 2810	Local 4.024850368499756	Global -5.375556945800781
Epoch 2820	Local 4.0230231285095215	Global -5.3752031326293945
Epoch 2830	Local 4.021965026855469	Global -5.375714302062988
Epoch 2840	Local 4.02569055557251	Global -5.374876022338867
Epoch 2850	Local 4.026008129119873	Global -5.376526832580566
Epoch 2860	Local 4.023625373840332	Global -5.375758647918701
Epoch 2870	Local 4.0248188972473145	Global -5.375161647796631
Epoch 2880	Local 4.020699977874756	Global -5.375641822814941
Epoch 2890	Local 4.021024227142334	Global -5.375249862670898
Epoch 2900	Local 4.018765449523926	Global -5.375746250152588
