Epoch 10	Local 5.326045036315918	Global -0.371549129486084
Epoch 20	Local 5.324704170227051	Global -0.36840683221817017
Epoch 30	Local 5.321303367614746	Global -0.37422895431518555
Epoch 40	Local 5.315587520599365	Global -0.38673919439315796
Epoch 50	Local 5.304673194885254	Global -0.4051763415336609
Epoch 60	Local 5.294254302978516	Global -0.4191458225250244
Epoch 70	Local 5.266945838928223	Global -0.46278369426727295
Epoch 80	Local 5.227989673614502	Global -0.5203651189804077
Epoch 90	Local 5.187602519989014	Global -0.5806558728218079
Epoch 100	Local 5.116833686828613	Global -0.6806255578994751
Epoch 110	Local 5.044190406799316	Global -0.7755168080329895
Epoch 120	Local 4.946230411529541	Global -0.9003398418426514
Epoch 130	Local 4.82831335067749	Global -1.0325298309326172
Epoch 140	Local 4.701931953430176	Global -1.17197847366333
Epoch 150	Local 4.56555700302124	Global -1.3012748956680298
Epoch 160	Local 4.421212196350098	Global -1.4301137924194336
Epoch 170	Local 4.288135051727295	Global -1.539384365081787
Epoch 180	Local 4.135103702545166	Global -1.656540036201477
Epoch 190	Local 3.9871599674224854	Global -1.757674217224121
Epoch 200	Local 3.859616994857788	Global -1.8397300243377686
Epoch 210	Local 3.744229793548584	Global -1.9063029289245605
Epoch 220	Local 3.5980005264282227	Global -1.9907783269882202
Epoch 230	Local 3.4960148334503174	Global -2.0453033447265625
Epoch 240	Local 3.3959884643554688	Global -2.093496322631836
Epoch 250	Local 3.2862157821655273	Global -2.1437783241271973
Epoch 260	Local 3.182234764099121	Global -2.191190242767334
Epoch 270	Local 3.092815399169922	Global -2.2295773029327393
Epoch 280	Local 3.013493776321411	Global -2.2624382972717285
Epoch 290	Local 2.9186365604400635	Global -2.299424409866333
Epoch 300	Local 2.8732640743255615	Global -2.3158416748046875
Epoch 310	Local 2.813274621963501	Global -2.3369078636169434
Epoch 320	Local 2.7444279193878174	Global -2.3619930744171143
Epoch 330	Local 2.679581880569458	Global -2.3858659267425537
Epoch 340	Local 2.639404535293579	Global -2.398355007171631
Epoch 350	Local 2.5798795223236084	Global -2.416372776031494
Epoch 360	Local 2.5320236682891846	Global -2.434234380722046
Epoch 370	Local 2.4927899837493896	Global -2.4459002017974854
Epoch 380	Local 2.4508259296417236	Global -2.45771861076355
Epoch 390	Local 2.417375326156616	Global -2.468186378479004
Epoch 400	Local 2.38169002532959	Global -2.477950096130371
Epoch 410	Local 2.3495428562164307	Global -2.488192558288574
Epoch 420	Local 2.327596426010132	Global -2.4944510459899902
Epoch 430	Local 2.2916321754455566	Global -2.504434585571289
Epoch 440	Local 2.2712695598602295	Global -2.509812116622925
Epoch 450	Local 2.2404325008392334	Global -2.5186867713928223
Epoch 460	Local 2.2142422199249268	Global -2.524852991104126
Epoch 470	Local 2.1948976516723633	Global -2.529543876647949
Epoch 480	Local 2.1768414974212646	Global -2.5353684425354004
Epoch 490	Local 2.15765643119812	Global -2.5401360988616943
Epoch 500	Local 2.1421868801116943	Global -2.5423049926757812
Epoch 510	Local 2.1171176433563232	Global -2.550276041030884
Epoch 520	Local 2.110759735107422	Global -2.5514938831329346
Epoch 530	Local 2.089463710784912	Global -2.557251214981079
Epoch 540	Local 2.0742483139038086	Global -2.561204433441162
Epoch 550	Local 2.0706188678741455	Global -2.560886859893799
Epoch 560	Local 2.0428099632263184	Global -2.5680558681488037
Epoch 570	Local 2.0332999229431152	Global -2.570542573928833
Epoch 580	Local 2.018873929977417	Global -2.574568748474121
Epoch 590	Local 2.006847381591797	Global -2.577117443084717
Epoch 600	Local 1.995894193649292	Global -2.5786709785461426
Epoch 610	Local 1.9891315698623657	Global -2.580838203430176
Epoch 620	Local 1.9809205532073975	Global -2.5828604698181152
Epoch 630	Local 1.9647266864776611	Global -2.586611032485962
Epoch 640	Local 1.9602384567260742	Global -2.587883710861206
Epoch 650	Local 1.9540358781814575	Global -2.588956594467163
Epoch 660	Local 1.93853759765625	Global -2.5925145149230957
Epoch 670	Local 1.9316564798355103	Global -2.594224691390991
Epoch 680	Local 1.9269524812698364	Global -2.594306230545044
Epoch 690	Local 1.9196852445602417	Global -2.597144603729248
Epoch 700	Local 1.9133343696594238	Global -2.598292827606201
