Epoch 10	Local 14.667436599731445	Global -1.427690029144287
Epoch 20	Local 14.659567832946777	Global -1.4275257587432861
Epoch 30	Local 14.646219253540039	Global -1.45021390914917
Epoch 40	Local 14.662605285644531	Global -1.4318898916244507
Epoch 50	Local 14.649311065673828	Global -1.452916145324707
Epoch 60	Local 14.668628692626953	Global -1.4263451099395752
Epoch 70	Local 14.655508995056152	Global -1.4458186626434326
Epoch 80	Local 14.651041030883789	Global -1.4432313442230225
Epoch 90	Local 14.609743118286133	Global -1.4843031167984009
Epoch 100	Local 14.613326072692871	Global -1.496870756149292
Epoch 110	Local 14.61062240600586	Global -1.4962303638458252
Epoch 120	Local 14.607524871826172	Global -1.4937819242477417
Epoch 130	Local 14.581059455871582	Global -1.525221586227417
Epoch 140	Local 14.58798885345459	Global -1.5136127471923828
Epoch 150	Local 14.559439659118652	Global -1.5601410865783691
Epoch 160	Local 14.520483016967773	Global -1.6124732494354248
Epoch 170	Local 14.504802703857422	Global -1.628771185874939
Epoch 180	Local 14.458427429199219	Global -1.6775107383728027
Epoch 190	Local 14.431126594543457	Global -1.713734745979309
Epoch 200	Local 14.381502151489258	Global -1.7801198959350586
Epoch 210	Local 14.308464050292969	Global -1.8737926483154297
Epoch 220	Local 14.1946382522583	Global -1.9819120168685913
Epoch 230	Local 14.132291793823242	Global -2.055849552154541
Epoch 240	Local 14.02321720123291	Global -2.179184675216675
Epoch 250	Local 13.85554027557373	Global -2.349454164505005
Epoch 260	Local 13.716245651245117	Global -2.503925323486328
Epoch 270	Local 13.541499137878418	Global -2.66974139213562
Epoch 280	Local 13.335775375366211	Global -2.840406894683838
Epoch 290	Local 13.11229133605957	Global -3.023867607116699
Epoch 300	Local 12.905010223388672	Global -3.2166335582733154
Epoch 310	Local 12.685091972351074	Global -3.3758506774902344
Epoch 320	Local 12.360798835754395	Global -3.584414482116699
Epoch 330	Local 12.0933256149292	Global -3.736180305480957
Epoch 340	Local 11.756379127502441	Global -3.932465076446533
Epoch 350	Local 11.517757415771484	Global -4.045588970184326
Epoch 360	Local 11.265695571899414	Global -4.1905364990234375
Epoch 370	Local 10.930524826049805	Global -4.320364475250244
Epoch 380	Local 10.645742416381836	Global -4.43396520614624
Epoch 390	Local 10.404351234436035	Global -4.536685466766357
Epoch 400	Local 10.09034252166748	Global -4.637483596801758
Epoch 410	Local 9.76373291015625	Global -4.732522487640381
Epoch 420	Local 9.543710708618164	Global -4.795804977416992
Epoch 430	Local 9.300919532775879	Global -4.87673282623291
Epoch 440	Local 9.05634593963623	Global -4.930232524871826
Epoch 450	Local 8.809494018554688	Global -4.999059200286865
Epoch 460	Local 8.673069953918457	Global -5.022690296173096
Epoch 470	Local 8.375709533691406	Global -5.098409652709961
Epoch 480	Local 8.170671463012695	Global -5.131814479827881
Epoch 490	Local 8.016989707946777	Global -5.168185710906982
Epoch 500	Local 7.7824554443359375	Global -5.201263904571533
Epoch 510	Local 7.626317977905273	Global -5.234671115875244
Epoch 520	Local 7.477052688598633	Global -5.256696701049805
Epoch 530	Local 7.256163597106934	Global -5.297147274017334
Epoch 540	Local 7.131640911102295	Global -5.308820724487305
Epoch 550	Local 6.996662616729736	Global -5.33991813659668
Epoch 560	Local 6.888314723968506	Global -5.349738597869873
Epoch 570	Local 6.748172283172607	Global -5.369829177856445
Epoch 580	Local 6.60693359375	Global -5.374506950378418
Epoch 590	Local 6.5356597900390625	Global -5.403593063354492
Epoch 600	Local 6.413013458251953	Global -5.4095659255981445
Epoch 610	Local 6.369157791137695	Global -5.416543006896973
Epoch 620	Local 6.2358222007751465	Global -5.429787635803223
Epoch 630	Local 6.125463962554932	Global -5.444746017456055
Epoch 640	Local 6.083784103393555	Global -5.450077056884766
Epoch 650	Local 6.029756546020508	Global -5.458445072174072
Epoch 660	Local 5.891782283782959	Global -5.472346782684326
Epoch 670	Local 5.859368324279785	Global -5.475137710571289
Epoch 680	Local 5.795544624328613	Global -5.483846664428711
Epoch 690	Local 5.731911659240723	Global -5.484510898590088
Epoch 700	Local 5.686556339263916	Global -5.489971160888672
Epoch 710	Local 5.6100311279296875	Global -5.500096797943115
Epoch 720	Local 5.579150199890137	Global -5.500547885894775
Epoch 730	Local 5.5163984298706055	Global -5.509119510650635
Epoch 740	Local 5.5116868019104	Global -5.511690616607666
Epoch 750	Local 5.457525253295898	Global -5.518825054168701
Epoch 760	Local 5.409388065338135	Global -5.517068862915039
Epoch 770	Local 5.363326072692871	Global -5.525830268859863
Epoch 780	Local 5.331978797912598	Global -5.527277946472168
Epoch 790	Local 5.297341346740723	Global -5.529928207397461
Epoch 800	Local 5.269806861877441	Global -5.531545162200928
Epoch 810	Local 5.254760265350342	Global -5.532486915588379
Epoch 820	Local 5.213144302368164	Global -5.5358567237854
Epoch 830	Local 5.214885711669922	Global -5.539472579956055
Epoch 840	Local 5.158579349517822	Global -5.54378604888916
Epoch 850	Local 5.1317973136901855	Global -5.544955253601074
Epoch 860	Local 5.108592510223389	Global -5.5485944747924805
Epoch 870	Local 5.081212997436523	Global -5.551137447357178
Epoch 880	Local 5.08013916015625	Global -5.546937942504883
Epoch 890	Local 5.058991432189941	Global -5.551776885986328
Epoch 900	Local 5.022845268249512	Global -5.551135063171387
Epoch 910	Local 5.012623310089111	Global -5.553775787353516
Epoch 920	Local 4.993595600128174	Global -5.559881210327148
Epoch 930	Local 4.97395658493042	Global -5.558811187744141
Epoch 940	Local 4.996244430541992	Global -5.556512355804443
Epoch 950	Local 4.955999851226807	Global -5.5596771240234375
Epoch 960	Local 4.952854633331299	Global -5.56191349029541
Epoch 970	Local 4.9173054695129395	Global -5.562629699707031
Epoch 980	Local 4.913132667541504	Global -5.561152935028076
Epoch 990	Local 4.888190269470215	Global -5.56453275680542
Epoch 1000	Local 4.877475738525391	Global -5.566702365875244
Epoch 1010	Local 4.863953590393066	Global -5.565372943878174
Epoch 1020	Local 4.858707427978516	Global -5.568838119506836
Epoch 1030	Local 4.846923828125	Global -5.5674638748168945
Epoch 1040	Local 4.816654682159424	Global -5.567204475402832
Epoch 1050	Local 4.834653854370117	Global -5.569688320159912
Epoch 1060	Local 4.815738677978516	Global -5.570394515991211
Epoch 1070	Local 4.803583145141602	Global -5.569497108459473
Epoch 1080	Local 4.796777248382568	Global -5.572366714477539
Epoch 1090	Local 4.790030479431152	Global -5.573277473449707
Epoch 1100	Local 4.782781600952148	Global -5.570356845855713
Epoch 1110	Local 4.775172233581543	Global -5.5696001052856445
Epoch 1120	Local 4.77052640914917	Global -5.572451591491699
Epoch 1130	Local 4.761213302612305	Global -5.5742573738098145
Epoch 1140	Local 4.758014678955078	Global -5.5785136222839355
Epoch 1150	Local 4.756111145019531	Global -5.578248023986816
Epoch 1160	Local 4.734699249267578	Global -5.578847885131836
Epoch 1170	Local 4.723974704742432	Global -5.5758771896362305
Epoch 1180	Local 4.7274675369262695	Global -5.576316833496094
Epoch 1190	Local 4.720220565795898	Global -5.57942008972168
Epoch 1200	Local 4.702783107757568	Global -5.577916145324707
Epoch 1210	Local 4.6961517333984375	Global -5.5783610343933105
Epoch 1220	Local 4.699342250823975	Global -5.579784393310547
Epoch 1230	Local 4.686768531799316	Global -5.5804123878479
Epoch 1240	Local 4.694155216217041	Global -5.578664779663086
Epoch 1250	Local 4.678041934967041	Global -5.57823371887207
Epoch 1260	Local 4.680074691772461	Global -5.579705238342285
Epoch 1270	Local 4.682494640350342	Global -5.58110237121582
Epoch 1280	Local 4.673191070556641	Global -5.580597877502441
Epoch 1290	Local 4.665438652038574	Global -5.582040786743164
Epoch 1300	Local 4.659492015838623	Global -5.582680702209473
Epoch 1310	Local 4.649476051330566	Global -5.582413196563721
Epoch 1320	Local 4.650287628173828	Global -5.583418369293213
Epoch 1330	Local 4.640350341796875	Global -5.583316802978516
Epoch 1340	Local 4.640573501586914	Global -5.586254596710205
Epoch 1350	Local 4.628793239593506	Global -5.583450794219971
Epoch 1360	Local 4.644591331481934	Global -5.584015846252441
Epoch 1370	Local 4.634418487548828	Global -5.584883689880371
Epoch 1380	Local 4.624579906463623	Global -5.583863735198975
Epoch 1390	Local 4.621456146240234	Global -5.585630893707275
Epoch 1400	Local 4.6160149574279785	Global -5.585108757019043
Epoch 1410	Local 4.619539737701416	Global -5.585233688354492
Epoch 1420	Local 4.616753101348877	Global -5.587184906005859
Epoch 1430	Local 4.597960948944092	Global -5.586094379425049
Epoch 1440	Local 4.601541042327881	Global -5.586758613586426
Epoch 1450	Local 4.599160671234131	Global -5.586645126342773
Epoch 1460	Local 4.593448638916016	Global -5.586231231689453
