Epoch 10	Local 12.200037002563477	Global -1.0975881814956665
Epoch 20	Local 12.196598052978516	Global -1.097203016281128
Epoch 30	Local 12.18729019165039	Global -1.1043667793273926
Epoch 40	Local 12.180717468261719	Global -1.113437533378601
Epoch 50	Local 12.182326316833496	Global -1.1110528707504272
Epoch 60	Local 12.181851387023926	Global -1.1117764711380005
Epoch 70	Local 12.175447463989258	Global -1.118901014328003
Epoch 80	Local 12.16519546508789	Global -1.1268781423568726
Epoch 90	Local 12.186714172363281	Global -1.1079065799713135
Epoch 100	Local 12.143136024475098	Global -1.1666179895401
Epoch 110	Local 12.112261772155762	Global -1.1962432861328125
Epoch 120	Local 12.101253509521484	Global -1.222051739692688
Epoch 130	Local 12.087697982788086	Global -1.2347755432128906
Epoch 140	Local 12.058215141296387	Global -1.2785967588424683
Epoch 150	Local 11.991596221923828	Global -1.3659816980361938
Epoch 160	Local 11.946920394897461	Global -1.4200247526168823
Epoch 170	Local 11.89953327178955	Global -1.4891277551651
Epoch 180	Local 11.789203643798828	Global -1.6079179048538208
Epoch 190	Local 11.705533027648926	Global -1.7135347127914429
Epoch 200	Local 11.585180282592773	Global -1.854711890220642
Epoch 210	Local 11.471053123474121	Global -1.9784444570541382
Epoch 220	Local 11.29021167755127	Global -2.1696338653564453
Epoch 230	Local 11.122353553771973	Global -2.3249869346618652
Epoch 240	Local 10.932011604309082	Global -2.506566047668457
Epoch 250	Local 10.68468952178955	Global -2.7221837043762207
Epoch 260	Local 10.472341537475586	Global -2.889040470123291
Epoch 270	Local 10.241857528686523	Global -3.069573402404785
Epoch 280	Local 9.991250991821289	Global -3.2230381965637207
Epoch 290	Local 9.730953216552734	Global -3.394894599914551
Epoch 300	Local 9.505223274230957	Global -3.5301315784454346
Epoch 310	Local 9.213151931762695	Global -3.6821532249450684
Epoch 320	Local 8.953798294067383	Global -3.815653085708618
Epoch 330	Local 8.7257661819458	Global -3.8991665840148926
Epoch 340	Local 8.548312187194824	Global -3.989438056945801
Epoch 350	Local 8.290336608886719	Global -4.081521034240723
Epoch 360	Local 8.020586013793945	Global -4.173221111297607
Epoch 370	Local 7.811301231384277	Global -4.251133441925049
Epoch 380	Local 7.5928144454956055	Global -4.318751335144043
Epoch 390	Local 7.377467632293701	Global -4.372794151306152
Epoch 400	Local 7.206119537353516	Global -4.418574810028076
Epoch 410	Local 7.035083770751953	Global -4.469795227050781
Epoch 420	Local 6.894277572631836	Global -4.515207290649414
Epoch 430	Local 6.676272392272949	Global -4.561583042144775
Epoch 440	Local 6.503881454467773	Global -4.599973678588867
Epoch 450	Local 6.384816646575928	Global -4.628045558929443
Epoch 460	Local 6.310499668121338	Global -4.644726276397705
Epoch 470	Local 6.111912250518799	Global -4.681411266326904
Epoch 480	Local 6.0328874588012695	Global -4.707129955291748
Epoch 490	Local 5.903390407562256	Global -4.7219743728637695
Epoch 500	Local 5.8129377365112305	Global -4.74442195892334
Epoch 510	Local 5.678620338439941	Global -4.763040065765381
Epoch 520	Local 5.601288795471191	Global -4.778974533081055
Epoch 530	Local 5.496424674987793	Global -4.796864032745361
Epoch 540	Local 5.443600654602051	Global -4.806275844573975
Epoch 550	Local 5.335626602172852	Global -4.82103967666626
Epoch 560	Local 5.2913665771484375	Global -4.824902534484863
Epoch 570	Local 5.187774181365967	Global -4.846726894378662
Epoch 580	Local 5.154794216156006	Global -4.850901126861572
Epoch 590	Local 5.072366714477539	Global -4.8612775802612305
Epoch 600	Local 5.018123626708984	Global -4.873763561248779
