Epoch 10	Local 8.39950180053711	Global -0.643857479095459
Epoch 20	Local 8.389981269836426	Global -0.6577044725418091
Epoch 30	Local 8.393088340759277	Global -0.6531400680541992
Epoch 40	Local 8.389331817626953	Global -0.6620075106620789
Epoch 50	Local 8.381183624267578	Global -0.6722800731658936
Epoch 60	Local 8.384873390197754	Global -0.6667128801345825
Epoch 70	Local 8.365521430969238	Global -0.6982103586196899
Epoch 80	Local 8.334014892578125	Global -0.7407546639442444
Epoch 90	Local 8.323600769042969	Global -0.7598661184310913
Epoch 100	Local 8.293073654174805	Global -0.8014004230499268
Epoch 110	Local 8.24919605255127	Global -0.8652864098548889
Epoch 120	Local 8.20594596862793	Global -0.9279403686523438
Epoch 130	Local 8.123098373413086	Global -1.039292335510254
Epoch 140	Local 8.035804748535156	Global -1.1568570137023926
Epoch 150	Local 7.926396369934082	Global -1.2896034717559814
Epoch 160	Local 7.78190279006958	Global -1.462133765220642
Epoch 170	Local 7.656192302703857	Global -1.5970416069030762
Epoch 180	Local 7.4730353355407715	Global -1.7842655181884766
Epoch 190	Local 7.289605140686035	Global -1.955700397491455
Epoch 200	Local 7.111845970153809	Global -2.1027417182922363
Epoch 210	Local 6.933934211730957	Global -2.252228260040283
Epoch 220	Local 6.716383934020996	Global -2.4122397899627686
Epoch 230	Local 6.495452880859375	Global -2.5539891719818115
Epoch 240	Local 6.305230140686035	Global -2.674337387084961
Epoch 250	Local 6.085779666900635	Global -2.7974843978881836
Epoch 260	Local 5.917126655578613	Global -2.8849709033966064
Epoch 270	Local 5.728240489959717	Global -2.969728946685791
Epoch 280	Local 5.567173004150391	Global -3.0467135906219482
Epoch 290	Local 5.390359401702881	Global -3.119709014892578
Epoch 300	Local 5.247720718383789	Global -3.1796557903289795
Epoch 310	Local 5.103113651275635	Global -3.239635944366455
Epoch 320	Local 4.958044528961182	Global -3.2913880348205566
Epoch 330	Local 4.842150688171387	Global -3.332676410675049
Epoch 340	Local 4.738936424255371	Global -3.3618931770324707
Epoch 350	Local 4.6054253578186035	Global -3.4031271934509277
Epoch 360	Local 4.5042290687561035	Global -3.439363479614258
Epoch 370	Local 4.406304836273193	Global -3.4599781036376953
Epoch 380	Local 4.293134689331055	Global -3.499284029006958
Epoch 390	Local 4.236851215362549	Global -3.5157833099365234
Epoch 400	Local 4.139281272888184	Global -3.5390305519104004
Epoch 410	Local 4.069997310638428	Global -3.559309482574463
Epoch 420	Local 4.013650894165039	Global -3.572140693664551
Epoch 430	Local 3.9341683387756348	Global -3.5939888954162598
Epoch 440	Local 3.881772756576538	Global -3.607891082763672
Epoch 450	Local 3.818159818649292	Global -3.622342586517334
Epoch 460	Local 3.7883658409118652	Global -3.6289939880371094
Epoch 470	Local 3.729048728942871	Global -3.640867233276367
Epoch 480	Local 3.6677730083465576	Global -3.6558611392974854
Epoch 490	Local 3.6208443641662598	Global -3.6652960777282715
Epoch 500	Local 3.6170542240142822	Global -3.6671924591064453
Epoch 510	Local 3.541545867919922	Global -3.6836466789245605
Epoch 520	Local 3.494290351867676	Global -3.693528175354004
Epoch 530	Local 3.46942138671875	Global -3.6966605186462402
Epoch 540	Local 3.4297573566436768	Global -3.706538200378418
Epoch 550	Local 3.401439905166626	Global -3.713064193725586
Epoch 560	Local 3.3874728679656982	Global -3.7157063484191895
Epoch 570	Local 3.3486757278442383	Global -3.7220206260681152
Epoch 580	Local 3.324578046798706	Global -3.7297215461730957
Epoch 590	Local 3.304690361022949	Global -3.7311978340148926
Epoch 600	Local 3.2809391021728516	Global -3.7381982803344727
Epoch 610	Local 3.2702457904815674	Global -3.7376551628112793
Epoch 620	Local 3.232496500015259	Global -3.7469048500061035
Epoch 630	Local 3.2113735675811768	Global -3.7498979568481445
Epoch 640	Local 3.1935553550720215	Global -3.7540194988250732
Epoch 650	Local 3.1833295822143555	Global -3.7548933029174805
Epoch 660	Local 3.1643600463867188	Global -3.7601370811462402
Epoch 670	Local 3.1450915336608887	Global -3.760957956314087
Epoch 680	Local 3.1342978477478027	Global -3.7633790969848633
Epoch 690	Local 3.123487949371338	Global -3.766272783279419
Epoch 700	Local 3.1021828651428223	Global -3.770611524581909
Epoch 710	Local 3.091776132583618	Global -3.7743537425994873
Epoch 720	Local 3.0873730182647705	Global -3.7742104530334473
Epoch 730	Local 3.0688793659210205	Global -3.776782751083374
Epoch 740	Local 3.048262357711792	Global -3.780848741531372
Epoch 750	Local 3.042863368988037	Global -3.780967950820923
Epoch 760	Local 3.027738571166992	Global -3.7835001945495605
Epoch 770	Local 3.0221357345581055	Global -3.7833147048950195
Epoch 780	Local 3.0156826972961426	Global -3.786628246307373
Epoch 790	Local 3.0058681964874268	Global -3.7875852584838867
Epoch 800	Local 2.997316837310791	Global -3.7908706665039062
Epoch 810	Local 2.9922215938568115	Global -3.7906572818756104
Epoch 820	Local 2.9710533618927	Global -3.793149471282959
Epoch 830	Local 2.969783067703247	Global -3.7942285537719727
Epoch 840	Local 2.9605870246887207	Global -3.79522442817688
Epoch 850	Local 2.961658239364624	Global -3.7946507930755615
Epoch 860	Local 2.9458467960357666	Global -3.798304796218872
Epoch 870	Local 2.94698429107666	Global -3.7970924377441406
Epoch 880	Local 2.943087100982666	Global -3.797816276550293
Epoch 890	Local 2.9314138889312744	Global -3.7987451553344727
Epoch 900	Local 2.919961929321289	Global -3.801236867904663
Epoch 910	Local 2.919663429260254	Global -3.8020806312561035
